q_id,q_status,q_date,ia_date,wd_date,on_date,entity,project_name,developer,utility,county_1,county_2,county_3,state,region,service,poi_name,prop_date,IA_status_raw,IA_status_clean,type_clean,type1,type2,type3,mw1,mw2,mw3
2174,withdrawn,2021-04-15,,2022-12-29,,CAISO,CHARGER STORAGE,,SDGE,san diego,,,CA,CAISO,Full Capacity,Otay Mesa Switchyard 230 kV,,,Feasibility Study,Battery,Battery,,,616.0,,
1131,withdrawn,2015-04-30,,,,CAISO,ENERGY NUEVO STORAGE FARM (FKA NEW KEARNY ENERGY PARK),,PGAE,fresno,,,CA,CAISO,Full Capacity,New Kearny Substation 70kV bus,2020-05-01,,System Impact Study,Battery,Battery,,,20.0,,
caiso_c15_513,active,2023-04-17,,,,CAISO,Musketeers Solar 2,,SCE,tulare,,,CA,CAISO,,Magunden - Springville 230kV,,,In Progress (unknown study),Solar+Battery,Solar,Battery,,524.0,270.0,
169,withdrawn,2007-02-02,,2008-11-26,,CAISO,IMPERIAL SOLEIL,,SDGE,imperial,,,CA,CAISO,,Imperial Valley 230kV bus,,,Feasibility Study,Other,Steam Turbine,,,212.0,,
caiso_c15_182,active,2023-04-17,,,,CAISO,Zeitgeist K Energy Center,,PGAE,san joaquin,,,CA,CAISO,,Kasson Substation 115kV,2029-09-14,,In Progress (unknown study),Battery,Battery,,,258.0,,
465,withdrawn,2008-06-02,,2008-11-25,,CAISO,LITTLE ROCK SOLAR I,,SCE,kern,,,CA,CAISO,,Little Rock Substation 69 kV bus,2010-12-01,,Feasibility Study,Solar,Solar,,,40.0,,
caiso_c15_92,active,2023-04-17,,,,CAISO,Greyhound Storage,,PGAE,merced,,,CA,CAISO,,Los Banos 500kV,2027-10-01,,In Progress (unknown study),Battery,Battery,,,1000.0,,
124,operational,2006-08-22,2009-08-05,,2019-12-06,CAISO,SILVER RIDGE MOUNT SIGNAL,,SDGE,imperial,,,CA,CAISO,Full Capacity,Imperial Valley Substation 230 kV,2011-03-01,Executed,IA Executed,Solar,Solar,,,600.0,,
caiso_c15_521,active,2023-04-17,,,,CAISO,Lynchpin Solar,,PGAE,tulare,,,CA,CAISO,,Atwell Solar 115kV,,,In Progress (unknown study),Solar+Battery,Solar,Battery,,164.0,162.0,
728,withdrawn,2011-03-31,,,,CAISO,MARTELLA SOLAR,,PGAE,kings,,,CA,CAISO,Full Capacity,69 KV   POI is at a designated google coordinates,2013-03-01,,Feasibility Study,Solar,Solar,,,20.0,,
caiso_c15_28,active,2023-04-17,,,,CAISO,FORTIS 2,,PGAE,solano,,,CA,CAISO,,Birds Landing 230 kV,,,In Progress (unknown study),Battery,Battery,,,206.0,,
803,withdrawn,2011-03-31,,,,CAISO,CENTRAL VALLEY I SEGS,,PGAE,kern,,,CA,CAISO,Full Capacity,Midway - Wheeler Ridge #1 & #2 230 kV,2015-06-30,,Feasibility Study,Other,Steam Turbine,,,1080.0,,
caiso_c15_358,active,2023-04-17,,,,CAISO,Ulua,,SCE,los angeles,,,CA,CAISO,,Eagle Rock Substation 230kV,2027-04-01,,In Progress (unknown study),Battery,Battery,,,105.0,,
604,withdrawn,2010-02-01,,2010-11-24,,CAISO,IMPERIAL VALLEY GENERATION PROJECT,,SDGE,imperial,,,CA,CAISO,Full Capacity,Imperial Valley Substation 230kV,2014-04-01,,Feasibility Study,Gas,Gas,,,600.0,,
1968,active,2021-04-15,,,,CAISO,PLUM,,PGAE,kings,,,CA,CAISO,Full Capacity,Gates 230 kV,,,Facility Study,Solar+Battery,Solar,Battery,,1040.0,520.0,
caiso_c15_306,active,2023-04-17,,,,CAISO,Hyder Valley Farms,,SDGE,,,,CA,CAISO,,Hassayampa 500kV,,,In Progress (unknown study),Solar+Battery,Solar,Battery,,400.0,400.0,
caiso_c15_426,active,2023-04-17,,,,CAISO,Chokecherry and Sierra Madre Wind Energy Project,,TWE,carbon,,,WY,CAISO,,TWE Project Wyoming Terminal 345kV,2027-12-01,,In Progress (unknown study),Wind,Wind,,,3290.0,,
1856,active,2021-04-15,,,,CAISO,ARGES BESS,,PGAE,solano,,,CA,CAISO,Full Capacity,Vaca-Dixon 115 kV,2024-06-01,,Facility Study,Battery,Battery,,,102.0,,
401,withdrawn,2008-05-30,,,,CAISO,D TRAIN,,SCE,los angeles,,,CA,CAISO,,ChevGen Substation,2010-09-01,,Feasibility Study,Other,Steam Turbine,,,50.0,,
2047,withdrawn,2021-04-15,,,,CAISO,LONGMEADOW HYBRID SOLAR,,SCE,riverside,,,CA,CAISO,Full Capacity,Red Bluff Substation 220 kV,,,System Impact Study,Solar+Battery,Solar,Battery,,228.0,228.0,
caiso_c15_475,active,2023-04-17,,,,CAISO,Scorpio Storage,,SCE,san bernandino,,,CA,CAISO,,Victor Substation 230kV,,,In Progress (unknown study),Battery,Battery,,,600.0,,
2108,withdrawn,2021-04-15,,,,CAISO,RED DIAMOND SOLAR,,SCE,san bernardino,,,CA,CAISO,Full Capacity,Tortilla Substation 115 kV,,,Feasibility Study,Solar+Battery,Solar,Battery,,62.0,62.0,
765,withdrawn,2011-03-31,,,,CAISO,FRONTIER SOLAR II (FKA SCATEC WESTSIDE SOLAR RANCH II),,PGAE,stanislaus,,,CA,CAISO,Full Capacity,Salado - Newman 60 KV,2013-10-01,,Facility Study,Solar,Solar,,,30.0,,
caiso_c15_97,active,2023-04-17,,,,CAISO,Elsa Hybrid,,PGAE,monterey,,,CA,CAISO,,Coburn Substation 230kV,2028-04-01,,In Progress (unknown study),Solar+Battery,Solar,Battery,,159.0,154.0,
caiso_c15_169,active,2023-04-17,,,,CAISO,Frontera,,GLW,san bernardino & inyo,,,NV,CAISO,,Sloan Canyon - Trout Canyon 230kV,2027-12-01,,In Progress (unknown study),Solar+Battery,Solar,Battery,,1017.0,1017.0,
1165,withdrawn,2015-04-30,,,,CAISO,BANCROFT,,SDGE,san diego,,,CA,CAISO,Full Capacity,Spring Valley substation 69 kV bus,2018-01-01,,Feasibility Study,Battery,Battery,,,20.0,,
1954,active,2021-04-15,,,,CAISO,HUASO HYBRID,,PGAE,fresno,,,CA,CAISO,Full Capacity,Gates 230 kV,2025-12-01,,Facility Study,Solar+Battery,Solar,Battery,,102.0,102.0,
227,withdrawn,2007-06-14,,,,CAISO,BODEGA BAY PROJECT,,PGAE,marin,,,CA,CAISO,,Fulton-Ignacio 230kV #2 line,,,Feasibility Study,Wind,Wind,,,175.0,,
2055,active,2021-04-15,,,,CAISO,EUISMOD,,SCE,kern,,,CA,CAISO,Full Capacity,WHIRLWIND Substation 230 kV,2024-06-30,,Facility Study,Solar+Battery,Solar,Battery,,623.0,623.0,
893,withdrawn,2012-04-02,,,,CAISO,HUNTINGTON BEACH,,SCE,orange,,,CA,CAISO,Energy Only,Huntington Beach Switching Station 230kV,2020-06-01,Executed,IA Executed,Gas,Gas,,,939.0,,
453,withdrawn,2008-06-02,,2008-11-26,,CAISO,PARKER SOLAR ENERGY,,SCE,la paz,,,AZ,CAISO,,Mohave Switchyard,2014-07-01,,Feasibility Study,Other,Steam Turbine,,,250.0,,
943,withdrawn,2013-04-30,,,,CAISO,LERDO SOLAR,,PGAE,kern,,,CA,CAISO,Full Capacity,Lerdo 115 kV Substation,2015-12-01,,System Impact Study,Solar,Solar,,,50.0,,
873,withdrawn,2011-11-15,,,,CAISO,SUN VALLEY ENERGY CENTER-1,,SCE,maricopa,,,AZ,CAISO,Full Capacity,Palo Verde-Devers #1 500kV line,2015-09-30,,System Impact Study,Solar,Solar,,,200.0,,
192,withdrawn,2007-04-02,,,,CAISO,CPV CALIFORNIA IV,,SDGE,san diego,,,CA,CAISO,,San Luis Rey¿Mission 230kV transmission line,2010-03-01,,Feasibility Study,Gas,Gas,,,315.0,,
caiso_c15_486,active,2023-04-17,,,,CAISO,Separator Expansion,,SCE,san bernardino,,,CA,CAISO,,Etiwanda 230kV,2025-06-01,,In Progress (unknown study),Battery,Battery,,,113.0,,
1013,withdrawn,2014-04-30,,,,CAISO,LAKE CLEMENTINE HYDROELECTRIC C7,,PGAE,placer,,,CA,CAISO,Full Capacity,Halsey Substation 60 kV,2018-01-15,,Feasibility Study,Hydro,Hydro,,,16.0,,
533,withdrawn,2009-11-11,,,,CAISO,BUTTONWOOD SOLAR,,PGAE,kern,,,CA,CAISO,Energy Only,Semitropic Midway #2 115kV line,2012-01-01,,Feasibility Study,Solar,Solar,,,20.0,,
1426,withdrawn,2017-05-01,,2019-10-31,,CAISO,VISION WIND,,SCE,kern,,,CA,CAISO,Full Capacity,Whirlwind Substation 220kV,,,Facility Study,Wind,Wind,,,281.0,,
1840,active,2021-04-15,,,,CAISO,GENOA ENERGY STORAGE,,PGAE,napa,,,CA,CAISO,Full Capacity,Vaca-Lakeville #1 230 kV Line,2024-08-01,,Facility Study,Battery,Battery,,,252.0,,
caiso_c15_214,active,2023-04-17,,,,CAISO,Two Bunch Palms,,SCE,riverside,,,CA,CAISO,,Devers 230kV,2028-06-01,,In Progress (unknown study),Battery,Battery,,,1518.0,,
1746,withdrawn,2020-04-15,,,,CAISO,VERBENA,,PGAE,kern,,,CA,CAISO,Full Capacity,Tupman Substation 115kV,2023-12-01,,Feasibility Study,Solar+Battery,Solar,Battery,,124.0,124.0,
1725,withdrawn,2020-04-15,,,,CAISO,ROCK DOVE 2 ENERGY CENTER,,PGAE,kern,,,CA,CAISO,Full Capacity,Gates - Midway 230kV line,,,Feasibility Study,Solar+Battery,Solar,Battery,,313.0,388.0,
1627,withdrawn,2019-04-15,,,,CAISO,UNA LAKE SOLAR,,SCE,los angeles,,,CA,CAISO,Full Capacity,Vincent Substation 230kV,,,Feasibility Study,Solar+Battery,Solar,Battery,,627.0,616.0,
180,withdrawn,2007-03-02,,,,CAISO,CPV CALIFORNIA I,,SCE,san bernardino,,,CA,CAISO,,New 230kV Switchyard on the Mira Loma-Vista #2 line,2011-05-01,,Feasibility Study,Gas,Gas,,,564.0,,
1011,withdrawn,2014-04-30,,,,CAISO,COLINAS DE ORO,,PGAE,alameda,,,CA,CAISO,Full Capacity,Tesla Substation 115kV,2016-12-01,Executed,IA Executed,Battery,Battery,,,30.0,,
1465,withdrawn,2018-04-16,,,,CAISO,STARGAZE SOLAR BESS,,PGAE,alameda,,,CA,CAISO,Full Capacity,Cayetano Substation 230kV,2021-12-01,,Feasibility Study,Solar,Solar,,,154.0,,
caiso_c15_257,active,2023-04-17,,,,CAISO,Lukrich Energy Center,,PGAE,santa cruz,,,CA,CAISO,,Green Valley 115kV,2026-12-01,,In Progress (unknown study),Battery,Battery,,,200.0,,
caiso_c15_542,active,2023-04-17,,,,CAISO,Mount Lassen Power Plant,,PGAE,lassen,,,,CAISO,,Caribou-Westwood 60kV,2023-09-01,,In Progress (unknown study),Other,Biofuel,,,12.0,,
425,withdrawn,2008-05-30,,2008-11-26,,CAISO,COLORADO RIVER ENERGY 2,,SCE,riverside,,,CA,CAISO,,Colorado River Substation,2014-07-01,,Feasibility Study,Other,Steam Turbine,,,250.0,,
848,withdrawn,2011-03-31,,,,CAISO,VALLE DEL SOL,,SDGE,imperial,,,CA,CAISO,Full Capacity,Imperial Valley Substation 12kV Bus,2013-12-01,,System Impact Study,Solar,Solar,,,20.0,,
551,withdrawn,2010-01-27,,,,CAISO,FRV RIGEL SOLAR,,PGAE,kern,,,CA,CAISO,Full Capacity,Wheeler Ridge Sub 70kV bus,,,Facility Study,Solar,Solar,,,20.0,,
caiso_c15_532,active,2023-04-17,,,,CAISO,Crossroads 2,,PGAE,shasta,,,CA,CAISO,,Round Mountain 230kV,2027-12-01,,In Progress (unknown study),Battery,Battery,,,313.0,,
caiso_c15_461,active,2023-04-17,,,,CAISO,Oaks Wind,,PGAE,san luis obispo,,,CA,CAISO,,Diablo - Gates 500kV,2030-04-14,,In Progress (unknown study),Wind,Wind,,,2460.0,,
caiso_c15_454,active,2023-04-17,,,,CAISO,Eagleman,,PGAE,merced,,,CA,CAISO,,Le Grand 115kV,2026-06-01,,In Progress (unknown study),Solar+Battery,Solar,Battery,,50.0,206.0,
1352,withdrawn,2017-05-01,,,,CAISO,CAL SUN SOLAR,,PGAE,alameda,,,CA,CAISO,Full Capacity,Herdlyn-Tracy line 70 kV,2019-09-01,,Feasibility Study,Solar+Battery,Solar,Battery,,20.0,21.0,
17,withdrawn,2003-03-18,,,,CAISO,SONORAN 2,,SCE,riverside,,,CA,CAISO,,Colorado River Substation 500kV bus,2006-01-01,Executed,IA Executed,Solar,Solar,,,520.0,,
1870,withdrawn,2021-04-15,,2022-11-11,,CAISO,BALSAM,,PGAE,alameda,,,CA,CAISO,Full Capacity,Grant - Eastshore #2 115 kV line,2024-06-30,,Feasibility Study,Solar+Battery,Solar,Battery,,154.0,150.0,
caiso_c15_60,active,2023-04-17,,,,CAISO,Egret,,LSPC,fresno,,,CA,CAISO,,Manning 500kV,2028-09-01,,In Progress (unknown study),Solar+Battery,Solar,Battery,,1056.0,646.0,
1574,withdrawn,2019-04-15,,,,CAISO,BIG DUCK STORAGE,,PGAE,fresno,,,CA,CAISO,Full Capacity,Panoche Substation 230 kV,2022-07-01,,System Impact Study,Battery,Battery,,,462.0,,
610,withdrawn,2010-02-05,,,,CAISO,SUN HARVESTER SOLAR PROJECT,,PGAE,fresno,,,CA,CAISO,Full Capacity,Stroud SW STA-Schindler 70kV,2012-12-01,,Facility Study,Solar,Solar,,,20.0,,
caiso_c15_281,active,2023-04-17,,,,CAISO,Pastoria Creek Power Bank,,SCE,kern,,,CA,CAISO,,Pastoria Substation 230kV,2029-04-01,,In Progress (unknown study),Battery,Battery,,,636.0,,
643AQ,withdrawn,2010-07-31,,,,CAISO,PALMAS (FKA HYDER SOLAR),,SDGE,yuma,,,AZ,CAISO,Full Capacity,Hassayampa-North Gila 500kV line,2013-06-01,,Feasibility Study,Solar,Solar,,,238.0,,
caiso_c15_324,active,2023-04-17,,,,CAISO,Amberjill Energy,,SDGE,san diego,,,CA,CAISO,,Loveland- Alpine 69 kV,,,In Progress (unknown study),Battery,Battery,,,101.0,,
caiso_c15_504,active,2023-04-17,,,,CAISO,Barbaro Storage,,SCE,kern,,,CA,CAISO,,Inyokern 115kV,2028-06-01,,In Progress (unknown study),Battery,Battery,,,204.0,,
643,withdrawn,2010-07-31,,,,CAISO,PACHECO PASS WIND ENERGY CENTER,,PGAE,fresno,,,CA,CAISO,Full Capacity,Los Banos-San Luis PGP #1 230 kV,,,Feasibility Study,Wind,Wind,,,150.0,,
761,withdrawn,2011-03-31,,,,CAISO,RE WILLOW SPRINGS,,SCE,kern,,,CA,CAISO,Full Capacity,Cal Cement-Antelope 66kV line,,,Feasibility Study,Solar,Solar,,,20.0,,
1636,active,2019-04-15,,,,CAISO,CALYPSO SOLAR,,SCE,riverside,,,CA,CAISO,Energy Only,Colorado River Substation 230kV,2023-12-01,Executed,IA Executed,Solar+Battery,Solar,Battery,,400.0,400.0,
993,active,2013-04-30,,,,CAISO,SUNSHINE VALLEY SOLAR 1,,VEA,nye,,,NV,CAISO,Full Capacity,Valley Substation 138 kV,,Executed,IA Executed,Solar+Battery,Solar,Battery,,50.0,40.0,
1501,withdrawn,2018-04-16,,,,CAISO,MAMMOTH ENERGY STORAGE,,PGAE,kern,,,CA,CAISO,Full Capacity,Midway Substation 115kV,2021-07-09,,Feasibility Study,Battery,Battery,,,101.0,,
1580,withdrawn,2019-04-15,,,,CAISO,STEVINSON,,PGAE,merced,,,CA,CAISO,Full Capacity,Livingston Substation 115kV,,,Feasibility Study,Solar+Battery,Solar,Battery,,67.0,32.0,
caiso_c15_36,active,2023-04-17,,,,CAISO,Tumey,,LSPC,fresno,,,CA,CAISO,,Manning 500kV,2028-06-30,,In Progress (unknown study),Solar+Battery,Solar,Battery,,427.0,451.0,
caiso_c15_425,active,2023-04-17,,,,CAISO,Van Oker,,PGAE,solano,,,CA,CAISO,,Vaca - Dixon Substation 230kV,2030-03-15,,In Progress (unknown study),Battery,Battery,,,200.0,,
1582,withdrawn,2019-04-15,,,,CAISO,SUGARLOAF HYBRID SOLAR,,PGAE,fresno,,,CA,CAISO,Full Capacity,Panoche Substation 230kV,,,System Impact Study,Solar+Battery,Solar,Battery,,153.0,150.0,
902,withdrawn,2012-04-02,,,,CAISO,QUARTZ 2 SOLAR,,SCE,riverside,,,CA,CAISO,Full Capacity,"Colorado River sub, 230 kV bus",,,System Impact Study,Solar,Solar,,,150.0,,
1560,withdrawn,2019-04-15,,,,CAISO,NIKOLA NORTE,,PGAE,san joaquin,,,CA,CAISO,Full Capacity,Tesla-Stagg 230kV,2023-04-15,,Feasibility Study,Solar+Battery,Solar,Battery,,244.0,61.0,
1500,withdrawn,2018-04-16,,,,CAISO,LIMON ENERGY PARK,,PGAE,kern,,,CA,CAISO,Full Capacity,Midway Substation 230kV,2020-12-01,,System Impact Study,Solar+Battery,Solar,Battery,,128.0,25.0,
644,operational,2010-08-16,2012-03-21,,,CAISO,CHOWCHILLA SOLAR PROJECT,,PGAE,madera,,,CA,CAISO,Energy Only,Dairyland - Legrand 115 kV,2012-01-03,Executed,IA Executed,Solar,Solar,,,20.0,,
78,withdrawn,2005-08-31,,,,CAISO,SES SOLAR TWO),,SDGE,imperial,,,CA,CAISO,,Imperial Valley Sub 230kV Bus,,,Facility Study,Solar,Solar,,,300.0,,
caiso_c15_82,active,2023-04-17,,,,CAISO,Viva Energy Storage,,SCE,clark,,,NV,CAISO,,El Dorado 230kV,2030-03-31,,In Progress (unknown study),Battery,Battery,,,300.0,,
514,withdrawn,2009-07-31,,,,CAISO,ARCO SOLAR 1 PROJECT,,PGAE,kern,,,CA,CAISO,Energy Only,Arco Substation 69kV bus,,,Facility Study,Solar,Solar,,,20.0,,
caiso_c15_339,active,2023-04-17,,,,CAISO,Holly Oaks,,PGAE,calaveras,,,CA,CAISO,,Valley Springs 230kV,2028-03-01,,In Progress (unknown study),Solar+Battery,Solar,Battery,,200.0,200.0,
caiso_c15_464,active,2023-04-17,,,,CAISO,Aquarius Energy Storage,,PGAE,madera,,,CA,CAISO,,Borden 230kV,,,In Progress (unknown study),Battery,Battery,,,404.0,,
1559,withdrawn,2019-04-15,,,,CAISO,TEMPEST GENERATION,,PGAE,humboldt,,,CA,CAISO,Full Capacity,Round Mountain Substation 500kV,,,System Impact Study,Offshore Wind+Battery,Offshore Wind,Battery,,1568.0,319.0,
272,active,2007-11-01,2014-08-15,,,CAISO,AMERICAN KINGS SOLAR,,PGAE,kings,,,CA,CAISO,Full Capacity,Henrietta 70 kV,2012-06-01,Executed,IA Executed,Solar+Battery,Solar,Battery,,123.0,74.0,
1080,withdrawn,2014-04-30,,,,CAISO,BIRCH STREET GENERATION FACILITY (FKA BIRCH STREET- SIMPLE CYCLE),,SCE,orange,,,CA,CAISO,Partial Capacity,Ellis-Santiago line 220kV,2018-03-01,,Feasibility Study,Gas+Battery,Gas,Battery,,507.0,118.0,
caiso_c15_290,active,2023-04-17,,,,CAISO,SOLSTICE,,SCE,riverside,,,CA,CAISO,,El Casco 230kV,,,In Progress (unknown study),Solar+Wind+Battery,Solar,Wind,Battery,204.0,207.0,203.0
329,withdrawn,2008-03-31,,2008-11-26,,CAISO,GASKELL SOLAR GENERATING STATION,,SCE,kern,,,CA,CAISO,,Whirlwind Substation 230kV,2012-08-01,,Feasibility Study,Other,Steam Turbine,,,264.0,,
731,withdrawn,2011-03-31,,,,CAISO,MIMOSA SOLAR FARM,,PGAE,fresno,,,CA,CAISO,Full Capacity,Kearney Sub 230 KV,2014-07-01,,Feasibility Study,Solar,Solar,,,75.0,,
810,withdrawn,2011-03-31,,,,CAISO,FRESNO SOLAR,,PGAE,fresno,,,CA,CAISO,Full Capacity,Gates-McCall 230kV,2014-02-28,,Feasibility Study,Solar,Solar,,,100.0,,
274,operational,2007-11-05,2008-09-23,,2008-08-24,CAISO,PALOMAR ENERGY CENTER EXPANSION,,SDGE,san diego,,,CA,CAISO,,Palomar Energy Switchyard 230 kV,2008-08-25,Executed,IA Executed,Gas,Gas,,,54.0,,
2147,active,2021-04-15,,,,CAISO,KAWICH,,GLW,clark,,,NV,CAISO,Full Capacity,Innovation-Desert View 230 kV Line,2025-06-01,,Facility Study,Solar+Battery,Solar,Battery,,350.0,350.0,
1225,withdrawn,2016-05-02,,,,CAISO,CINCO,,PGAE,fresno,,,CA,CAISO,Energy Only,Five Points Substation 70 kV,2019-06-01,In Progress,Facility Study,Solar+Battery,Solar,Battery,,53.0,10.0,
caiso_c15_273,active,2023-04-17,,,,CAISO,Delta Oak,,PGAE,merced,,,CA,CAISO,,El Nido 115kV,2027-06-01,,In Progress (unknown study),Solar+Battery,Solar,Battery,,155.0,155.0,
190,withdrawn,2007-03-30,,,,CAISO,DOGHOUSE JUNCTION ENERGY CENTER,,SDGE,san diego,,,CA,CAISO,,Otay Mesa Energy Center 230kV Substation,2011-03-01,,Facility Study,Gas,Gas,,,330.0,,
155,withdrawn,2006-12-01,,,,CAISO,LSP OAKLAND,,PGAE,alameda,,,CA,CAISO,,Oakland C 115kV substation,2010-05-31,,System Impact Study,Gas,Gas,,,300.0,,
1860,active,2021-04-15,,,,CAISO,MEADOW RIDGE SOLAR AND BATTERY,,PGAE,shasta,,,CA,CAISO,Full Capacity,Pit 1-Cottonwood 230 kV Line,,,Facility Study,Solar+Battery,Solar,Battery,,94.0,20.0,
1549,withdrawn,2019-04-15,,,,CAISO,MIRANDA ESS,,PGAE,santa clara,,,CA,CAISO,Full Capacity,Los Esteros Substation 115kV,2023-12-01,,System Impact Study,Battery,Battery,,,200.0,,
caiso_c15_136,active,2023-04-17,,,,CAISO,Quark,,PGAE,tulare,,,CA,CAISO,,Gates - Midway 500kV,2028-10-01,,In Progress (unknown study),Solar+Battery,Solar,Battery,,2373.0,2373.0,
1979,withdrawn,2021-04-15,,,,CAISO,APPELLATION,,PGAE,,,,CA,CAISO,Full Capacity,Templeton Substation 230 kV,2024-11-01,,Feasibility Study,Battery,Battery,,,515.0,,
914,withdrawn,2012-04-02,,,,CAISO,VEA BLACKROCK,,VEA,nye,,,NV,CAISO,Full Capacity,Vista Substation 138kV,2014-12-01,,System Impact Study,Solar,Solar,,,20.0,,
1544,withdrawn,2019-04-15,,,,CAISO,RANCHERO SOLAR,,PGAE,colusa,,,CA,CAISO,Full Capacity,Delevan Substation 230kV,2023-12-01,,Feasibility Study,Solar+Battery,Solar,Battery,,300.0,150.0,
478,operational,2009-02-17,2012-01-03,,2013-08-14,CAISO,CORCORAN PV GENERATION FACILITY,,PGAE,kings,,,CA,CAISO,Full Capacity,Corcoran-Kingsburg 115kV #2 line,2011-11-01,Executed,IA Executed,Solar,Solar,,,20.0,,
562,withdrawn,2010-02-01,,,,CAISO,BARSTOW SOLAR II,,SCE,san bernardino,,,CA,CAISO,Full Capacity,Victor Substation 230kV,2013-10-01,,Feasibility Study,Solar,Solar,,,420.0,,
1542,withdrawn,2019-04-15,,,,CAISO,CAPETOWN 2 HYBRID,,PGAE,humboldt,,,CA,CAISO,Full Capacity,Bridgeville Substation 115kV,2021-06-30,,System Impact Study,Wind+Battery,Wind,Battery,,55.0,51.0,
2106,withdrawn,2021-04-15,,,,CAISO,PEARL GEOTHERMAL,,SCE,esmeralda,,,NV,CAISO,Full Capacity,Control Substation 115 kV,2025-02-01,,System Impact Study,Other,Steam Turbine,,,200.0,,
1058,operational,2014-04-30,,,,CAISO,PIO PICO CAPACITY INCREASE (FKA PIO PICO ENERGY CENTER 2),,SDGE,san diego,,,CA,CAISO,Full Capacity,Otay Mesa Switchyard 230 kV,2016-05-01,Executed,IA Executed,Gas,Gas,,,10.0,,
1059,withdrawn,2014-04-30,,,,CAISO,SEA LION ENERGY STORAGE,,SDGE,san diego,,,CA,CAISO,Full Capacity,San Luis Rey Substation 69 kV,2017-01-01,,System Impact Study,Battery,Battery,,,20.0,,
1249,withdrawn,2016-05-02,,,,CAISO,SEIS PUNTOS SOLAR,,PGAE,fresno,,,CA,CAISO,Full Capacity,Excelsior Switch Station 115 kV,2018-12-01,,System Impact Study,Solar,Solar,,,203.0,,
1213,withdrawn,2015-04-30,,,,CAISO,GOLDEN FIELDS SOLAR 3,,SCE,kern,,,CA,CAISO,Full Capacity,Whirlwind 230 kV substation,2018-06-30,,Feasibility Study,Solar,Solar,,,100.0,,
caiso_c15_242,active,2023-04-17,,,,CAISO,Magic Valley Wind 2,,DSLK,twin falls,,,ID,CAISO,,Harry Allen – El Dorado 500kV,2028-12-01,,In Progress (unknown study),Wind+Battery,Wind,Battery,,870.0,524.0,
1808,withdrawn,2020-04-15,,,,CAISO,COASTWOOD ENERGY STORAGE,,SDGE,san diego,,,CA,CAISO,Full Capacity,Shadowridge Substation 138kV,2023-07-15,,Feasibility Study,Battery,Battery,,,102.0,,
caiso_c15_33,active,2023-04-17,,,,CAISO,Occident,,PGAE,colusa,,,CA,CAISO,,Delevan 230kV,2028-06-30,,In Progress (unknown study),Solar+Battery,Solar,Battery,,320.0,339.0,
813,withdrawn,2011-03-31,,,,CAISO,GRAHAM SOLAR FARM II EXPANSION,,PGAE,fresno,,,CA,CAISO,Full Capacity,Schindler Substation 115 KV Bus,2013-06-30,,System Impact Study,Solar,Solar,,,20.0,,
1986,withdrawn,2021-04-15,,,,CAISO,ROWAN,,PGAE,kern,,,CA,CAISO,Full Capacity,Symrna-Semitropic-Midway 115 kV Line,,,Feasibility Study,Solar+Battery,Solar,Battery,,102.0,102.0,
caiso_c15_533,active,2023-04-17,,,,CAISO,Gigawatt Farm,,PGAE,kern,,,CA,CAISO,,Midway - Morro Bay 230kV,2027-06-01,,In Progress (unknown study),Battery,Battery,,,255.0,,
1463,active,2018-04-16,2021-06-03,,,CAISO,SOLANO 4 WIND,,PGAE,solano,,,CA,CAISO,Full Capacity,Birds Landing 230 kV,2023-03-31,Executed,IA Executed,Wind,Wind,,,92.0,,
1809,withdrawn,2020-04-15,,,,CAISO,CUCKOO ENERGY STORAGE,,SDGE,san diego,,,CA,CAISO,Full Capacity,Borrego Substation 69kV,2022-07-01,,Feasibility Study,Battery,Battery,,,30.0,,
686,withdrawn,2011-03-31,,,,CAISO,COLORADO RIVER 48 MW,,SCE,riverside,,,CA,CAISO,Full Capacity,Colorado River Substation 230kV,2014-09-01,,Feasibility Study,Solar,Solar,,,48.0,,
caiso_c15_481,withdrawn,2023-04-17,,,,CAISO,Monte Cristo Solar 4,,GLW,esmeralda,,,NV,CAISO,,BEATTY SUBSTATION 230kV,,,Withdrawn,Solar,Solar,,,500.0,,
310,withdrawn,2008-03-11,,,,CAISO,PV DEL SUR-LANCASTER,,SCE,los angeles,,,CA,CAISO,,Del-Dur-Lancaster-Rite Aid 66kV line,2009-05-01,In Progress,Feasibility Study,Solar,Solar,,,100.0,,
787,withdrawn,2011-03-31,,,,CAISO,REDDY I,,PGAE,kern,,,CA,CAISO,Full Capacity,Arco-Carneras 70 kV Line,2014-10-07,,Feasibility Study,Solar,Solar,,,8.0,,
193,operational,2007-04-04,2011-02-05,,2021-06-30,CAISO,GENESIS MCCOY,,SCE,riverside,,,CA,CAISO,Partial Capacity,Colorado River Substation 500kV,,Executed,IA Executed,Other+Battery,Other,,,500.0,230.0,
643W,operational,2010-07-31,2014-09-05,,,CAISO,RE MUSTANG,,PGAE,kings,,,CA,CAISO,Full Capacity,Gates-Gregg 230 kV and Gates-McCall 230 kV,2014-06-30,Executed,IA Executed,Solar+Battery,Solar,Battery,,100.0,75.0,
315,withdrawn,2008-03-11,,,,CAISO,PV PALMDALE-ROCKAIR,,SCE,los angeles,,,CA,CAISO,,Helijet-Little Rock-Palmdale-Rockair 66kV line,2009-05-01,,Feasibility Study,Solar,Solar,,,100.0,,
