q_id,q_status,q_date,ia_date,wd_date,on_date,entity,project_name,developer,utility,county_1,county_2,county_3,state,region,service,poi_name,prop_date,IA_status_raw,IA_status_clean,type_clean,type1,type2,type3,mw1,mw2,mw3
643Q,withdrawn,2010-07-31,,2010-11-23,,CAISO,VOYAGER SOLAR ENERGY,,SCE,kern,,,CA,CAISO,Full Capacity,Windhub Sub 220 kV Bus,2014-11-01,,Feasibility Study,Solar,Solar,,,80.0,,
356,operational,2008-04-28,2012-07-31,,,CAISO,CUYAMA SOLAR,,PGAE,san luis obispo,,,CA,CAISO,Full Capacity,Taft-Cuyama #1 70kV line,2012-04-01,Executed,IA Executed,Solar,Solar,,,40.0,,
caiso_c15_167,active,2023-04-17,,,,CAISO,Container,,GLW,clark,,,NV,CAISO,,Sloan Canyon 230kV,2027-12-01,,In Progress (unknown study),Solar+Battery,Solar,Battery,,261.0,261.0,
1889,active,2021-04-15,,,,CAISO,HOLMAN,,PGAE,monterey,,,CA,CAISO,Full Capacity,Moss Landing 500 kV,2028-04-01,,Facility Study,Wind+Battery,Wind,Battery,,1525.0,757.0,
196,withdrawn,2007-04-13,,,,CAISO,MADERA ENERGY CENTER,,PGAE,madera,,,CA,CAISO,,Borden Substation 230kV Bus,2011-07-01,,Feasibility Study,Gas,Gas,,,210.0,,
632,operational,2010-05-25,2013-03-06,,,CAISO,ADAMS EAST,,PGAE,fresno,,,CA,CAISO,Full Capacity,Wesix 70kV Tap,,Executed,IA Executed,Solar,Solar,,,19.0,,
981,withdrawn,2013-04-30,,,,CAISO,WP GOLETA (FKA WP OXNARD),,SCE,ventura,,,CA,CAISO,Full Capacity,Goleta Substation 220kV bus,2018-05-15,,Feasibility Study,Gas,Gas,,,200.0,,
caiso_c15_179,active,2023-04-17,,,,CAISO,Lost Palms Solar,,SCE,riverside,,,CA,CAISO,,Julian Hinds 230kV,2027-06-01,,In Progress (unknown study),Solar+Battery,Solar,Battery,,437.0,437.0,
39,operational,2004-11-11,2007-01-12,,2012-12-04,CAISO,SHILOH III,,PGAE,solano,,,CA,CAISO,,Birds Landing Switching Station 230kV,,Executed,IA Executed,Wind,Wind,,,200.0,,
839,withdrawn,2011-03-31,,,,CAISO,DESERT HARVEST SOLAR FARM,,SCE,imperial,,,CA,CAISO,Full Capacity,Colorado River Substation 230kV bus,,,System Impact Study,Solar,Solar,,,100.0,,
800,withdrawn,2011-03-31,,,,CAISO,ASPIRATION SOLAR E,,PGAE,fresno,,,CA,CAISO,Full Capacity,Mendota-San Joaquin-Helm 70kV,,,Facility Study,Solar,Solar,,,0.1,,
794,withdrawn,2011-03-31,,,,CAISO,TIERRA DEL SOL SOLAR FARM,,SDGE,san diego,,,CA,CAISO,Full Capacity,Boulevard East Substation 138kV,2015-04-30,,Facility Study,Solar,Solar,,,45.0,,
caiso_c15_104,active,2023-04-17,,,,CAISO,Marcus Storage,,SCE,san bernardino,,,CA,CAISO,,Mira Loma 230kV,2028-04-01,,In Progress (unknown study),Battery,Battery,,,304.0,,
154,withdrawn,2006-11-30,,,,CAISO,FLYING WING SOLAR (FKA GENESIS SOLAR),,SCE,kern,,,CA,CAISO,Full Capacity,Windhub 230 kV Substation,,,Facility Study,Solar,Solar,,,250.0,,
