n_type_0,n_type_1,n_type_2,n_type_3,n_type_4,n_type_5,n_type_6,n_type_7,n_type_8,n_type_9,mw_type_0,mw_type_1,mw_type_2,mw_type_3,mw_type_4,mw_type_5,mw_type_6,mw_type_7,mw_type_8
0.0,25.0,5.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4071.0,702.0,2023.0,2605.0,0.0,0.0,0.0,0.0
0.0,26.0,5.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4273.0,702.0,2023.0,2605.0,0.0,0.0,0.0,0.0
0.0,27.0,5.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4473.0,702.0,2023.0,2605.0,0.0,0.0,0.0,0.0
0.0,28.0,5.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4675.0,702.0,2023.0,2605.0,0.0,0.0,0.0,0.0
0.0,29.0,5.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4875.0,702.0,2023.0,2605.0,0.0,0.0,0.0,0.0
0.0,30.0,5.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4975.0,702.0,2023.0,2605.0,0.0,0.0,0.0,0.0
0.0,31.0,5.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,5065.0,702.0,2023.0,2605.0,0.0,0.0,0.0,0.0
0.0,32.0,5.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,5185.0,702.0,2023.0,2605.0,0.0,0.0,0.0,0.0
0.0,33.0,5.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,5285.0,702.0,2023.0,2605.0,0.0,0.0,0.0,0.0
0.0,34.0,5.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,5345.0,702.0,2023.0,2605.0,0.0,0.0,0.0,0.0
0.0,34.0,5.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,5345.0,702.0,2023.0,2605.0,0.0,0.0,0.0,0.0
0.0,34.0,5.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,5345.0,702.0,2023.0,2880.0,0.0,0.0,0.0,0.0
0.0,34.0,6.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,5345.0,977.0,2023.0,2880.0,0.0,0.0,0.0,0.0
0.0,34.0,7.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,5345.0,1252.0,2023.0,2880.0,0.0,0.0,0.0,0.0
0.0,34.0,8.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,5345.0,1527.0,2023.0,2880.0,0.0,0.0,0.0,0.0
0.0,34.0,8.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,5345.0,1527.0,2023.0,3045.0,0.0,0.0,0.0,0.0
0.0,35.0,8.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,5571.0,1527.0,2023.0,3045.0,0.0,0.0,0.0,0.0
0.0,36.0,8.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,5701.0,1527.0,2023.0,3045.0,0.0,0.0,0.0,0.0
0.0,36.0,8.0,1.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,5701.0,1527.0,2023.0,3045.0,45.0,0.0,0.0,0.0
0.0,36.0,8.0,1.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,5701.0,1527.0,2023.0,3900.0,45.0,0.0,0.0,0.0
0.0,36.0,8.0,1.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,5701.0,1527.0,2023.0,4755.0,45.0,0.0,0.0,0.0
0.0,37.0,8.0,1.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,5925.0,1527.0,2023.0,4755.0,45.0,0.0,0.0,0.0
