n_renewable,n_non_renewable,n_storage,mw_renewable,mw_non_renewable,mw_storage
36.0,63.0,5.0,6822.0,21766.2,748.0
37.0,63.0,5.0,6950.0,21766.2,748.0
37.0,64.0,5.0,6950.0,22066.2,748.0
38.0,64.0,5.0,8350.0,22066.2,748.0
39.0,64.0,5.0,8900.0,22066.2,748.0
39.0,65.0,5.0,8900.0,22082.2,748.0
40.0,65.0,5.0,9200.0,22082.2,748.0
41.0,65.0,5.0,9230.0,22082.2,748.0
42.0,65.0,5.0,9380.0,22082.2,748.0
43.0,65.0,5.0,9530.0,22082.2,748.0
44.0,65.0,5.0,9580.0,22082.2,748.0
45.0,65.0,5.0,9650.0,22082.2,748.0
45.0,66.0,5.0,9650.0,22632.2,748.0
46.0,66.0,5.0,10150.0,22632.2,748.0
47.0,66.0,5.0,11350.0,22632.2,748.0
47.0,67.0,5.0,11350.0,22731.2,748.0
47.0,68.0,5.0,11350.0,22830.2,748.0
47.0,69.0,5.0,11350.0,22879.2,748.0
48.0,69.0,5.0,11950.0,22879.2,748.0
48.0,70.0,5.0,11950.0,23129.2,748.0
49.0,70.0,5.0,13450.0,23129.2,748.0
49.0,71.0,5.0,13450.0,23729.2,748.0
49.0,72.0,5.0,13450.0,23756.2,748.0
50.0,72.0,5.0,13850.0,23756.2,748.0
50.0,73.0,5.0,13850.0,24321.2,748.0
50.0,74.0,5.0,13850.0,24453.2,748.0
51.0,74.0,5.0,14012.0,24453.2,748.0
52.0,74.0,5.0,14152.0,24453.2,748.0
52.0,75.0,5.0,14152.0,24653.2,748.0
53.0,75.0,5.0,14212.0,24653.2,748.0
53.0,76.0,5.0,14212.0,24953.2,748.0
53.0,77.0,5.0,14212.0,25164.2,748.0
54.0,77.0,6.0,14272.0,25164.2,838.0
54.0,78.0,6.0,14272.0,25862.2,838.0
53.0,79.0,6.0,13872.0,25937.2,838.0
53.0,80.0,6.0,13872.0,26441.2,838.0
53.0,81.0,6.0,13872.0,26521.2,838.0
53.0,82.0,6.0,13872.0,26601.2,838.0
53.0,83.0,6.0,13872.0,26921.2,838.0
53.0,84.0,6.0,13872.0,27512.2,838.0
54.0,84.0,7.0,14122.0,27512.2,1068.0
54.0,85.0,7.0,14122.0,27602.2,1068.0
55.0,85.0,7.0,14484.0,27602.2,1068.0
55.0,86.0,7.0,14484.0,27649.2,1068.0
56.0,86.0,8.0,14784.0,27649.2,1298.0
56.0,86.0,8.0,14784.0,27859.2,1298.0
57.0,86.0,8.0,14884.0,27859.2,1298.0
58.0,86.0,8.0,14989.0,27859.2,1298.0
59.0,86.0,8.0,15239.0,27859.2,1298.0
59.0,87.0,8.0,15239.0,28159.2,1298.0
60.0,87.0,8.0,15440.0,28159.2,1298.0
61.0,86.0,8.0,15540.0,27649.2,1298.0
62.0,86.0,8.0,15640.0,27649.2,1298.0
63.0,86.0,8.0,15740.0,27649.2,1298.0
63.0,86.0,8.0,15856.0,27649.2,1298.0
63.0,87.0,8.0,15856.0,27869.2,1298.0
63.0,88.0,8.0,15856.0,28089.2,1298.0
63.0,89.0,8.0,15856.0,28215.2,1298.0
64.0,89.0,8.0,16156.0,28215.2,1298.0
65.0,89.0,8.0,17156.0,28215.2,1298.0
65.0,90.0,8.0,17156.0,28615.2,1298.0
66.0,90.0,8.0,17366.0,28615.2,1298.0
66.0,91.0,8.0,17366.0,29315.2,1298.0
67.0,91.0,8.0,17516.0,29315.2,1298.0
67.0,92.0,8.0,17516.0,29527.2,1298.0
68.0,92.0,8.0,18516.0,29527.2,1298.0
69.0,92.0,8.0,19016.0,29527.2,1298.0
69.0,93.0,8.0,19016.0,30035.2,1298.0
69.0,94.0,8.0,19016.0,30085.2,1298.0
70.0,94.0,8.0,19046.0,30085.2,1298.0
71.0,94.0,8.0,19696.0,30085.2,1298.0
71.0,95.0,8.0,19696.0,30135.2,1298.0
72.0,95.0,8.0,19796.0,30135.2,1298.0
73.0,95.0,8.0,19896.0,30135.2,1298.0
