n_renewable,n_non_renewable,n_storage,mw_renewable,mw_non_renewable,mw_storage
4.0,102.0,0.0,301.0,38965.8,0.0
4.0,102.0,0.0,301.0,39509.8,0.0
4.0,103.0,0.0,301.0,40059.8,0.0
4.0,104.0,0.0,301.0,40063.600000000006,0.0
4.0,105.0,0.0,301.0,40563.600000000006,0.0
4.0,105.0,0.0,301.0,40563.600000000006,0.0
4.0,105.0,0.0,301.0,40563.600000000006,0.0
4.0,106.0,0.0,301.0,40600.600000000006,0.0
4.0,107.0,0.0,301.0,40700.600000000006,0.0
4.0,108.0,0.0,301.0,40710.50000000001,0.0
4.0,109.0,0.0,301.0,40798.50000000001,0.0
4.0,110.0,0.0,301.0,41348.50000000001,0.0
4.0,111.0,0.0,301.0,41898.50000000001,0.0
4.0,112.0,0.0,301.0,42448.50000000001,0.0
4.0,113.0,0.0,301.0,42453.00000000001,0.0
4.0,114.0,0.0,301.0,42466.00000000001,0.0
4.0,115.0,0.0,301.0,42471.00000000001,0.0
4.0,116.0,0.0,301.0,42472.600000000006,0.0
4.0,117.0,0.0,301.0,42482.600000000006,0.0
4.0,117.0,0.0,301.0,42571.600000000006,0.0
4.0,117.0,0.0,301.0,41783.600000000006,0.0
4.0,118.0,0.0,301.0,41784.600000000006,0.0
5.0,115.0,0.0,371.0,41662.00000000001,0.0
5.0,116.0,0.0,371.0,42094.00000000001,0.0
5.0,117.0,0.0,371.0,42099.00000000001,0.0
5.0,118.0,0.0,371.0,42107.00000000001,0.0
5.0,119.0,0.0,371.0,42195.00000000001,0.0
5.0,120.0,0.0,371.0,42363.00000000001,0.0
5.0,121.0,0.0,371.0,42451.00000000001,0.0
5.0,120.0,0.0,371.0,42288.00000000001,0.0
5.0,120.0,0.0,371.0,42305.00000000001,0.0
5.0,121.0,0.0,371.0,42405.00000000001,0.0
5.0,122.0,0.0,371.0,42414.00000000001,0.0
5.0,122.0,0.0,371.0,42934.00000000001,0.0
5.0,123.0,0.0,371.0,43484.00000000001,0.0
5.0,124.0,0.0,371.0,44034.00000000001,0.0
5.0,125.0,0.0,371.0,44584.00000000001,0.0
5.0,126.0,0.0,371.0,44774.00000000001,0.0
5.0,127.0,0.0,371.0,45324.00000000001,0.0
5.0,128.0,0.0,371.0,45874.00000000001,0.0
5.0,129.0,0.0,371.0,46224.00000000001,0.0
5.0,130.0,0.0,371.0,46774.00000000001,0.0
5.0,131.0,0.0,371.0,47324.00000000001,0.0
5.0,132.0,0.0,371.0,47874.00000000001,0.0
5.0,133.0,0.0,371.0,48374.00000000001,0.0
5.0,134.0,0.0,371.0,48924.00000000001,0.0
5.0,135.0,0.0,371.0,48927.00000000001,0.0
5.0,136.0,0.0,371.0,48966.00000000001,0.0
5.0,137.0,0.0,371.0,49466.00000000001,0.0
5.0,138.0,0.0,371.0,50216.00000000001,0.0
5.0,139.0,0.0,371.0,50217.200000000004,0.0
5.0,140.0,0.0,371.0,50222.200000000004,0.0
5.0,139.0,0.0,371.0,48746.200000000004,0.0
