q_id,q_status,q_date,wd_date,on_date,county_1,type1,type2,type3,mw1,mw2,mw3
119,withdrawn,2004-01-16,2007-10-19,,fairfield,Unknown,,,0.0,,
120,operational,2004-05-10,,,strafford,Unknown,,,0.0,,
121,operational,2004-06-22,,2005-03-28,fairfield,Oil,,,6.0,,
122,operational,2004-07-20,,2005-01-03,new london,Oil,,,15.0,,
123,withdrawn,2004-10-04,,,somerset,Unknown,,,0.0,,
124,withdrawn,2004-10-27,,,caledonia,Unknown,,,0.0,,
125,operational,2004-11-02,,2008-05-31,fairfield,Oil,,,46.0,,
126,withdrawn,2004-11-09,,,cheshire,Biomass,,,40.0,,
127,operational,2004-11-15,,,sullivan,Wind,,,24.0,,
128,withdrawn,2005-02-11,,,litchfield,Biomass,,,42.0,,
129,operational,2005-02-28,,2005-04-04,penobscot,Biomass,,,16.0,,
130,withdrawn,2005-05-24,,,caledonia,Wind,,,53.0,,
131,withdrawn,2005-06-21,,,franklin,Wind,,,90.0,,
132,withdrawn,2005-07-21,,,bennington,Wind,,,9.0,,
133,withdrawn,2005-08-01,,,orleans,Oil,,,124.0,,
134,withdrawn,2005-08-03,,,bennington,Wind,,,45.0,,
136,withdrawn,2005-08-19,,,somerset,Biomass,,,40.0,,
135,withdrawn,2005-08-19,,,hampden,Biomass,,,55.0,,
137,operational,2005-09-23,,2011-06-21,oxford,Hydro,,,0.0,,
138,operational,2005-09-26,,,franklin,Wind,,,65.0,,
139,withdrawn,2005-10-14,,,middlesex,Gas,,,99.0,,
140,operational,2005-12-13,,2007-10-01,new haven,Oil,,,100.0,,
141,withdrawn,2005-12-14,,,middlesex,Oil,,,200.0,,
142,withdrawn,2005-12-21,,,windham,Wind,,,48.0,,
143,withdrawn,2006-01-16,,,providence,Landfill,,,25.0,,
144,withdrawn,2006-02-06,,,windsor,Biomass,,,28.0,,
145,withdrawn,2006-02-13,,,windham,Wind,,,51.0,,
146,operational,2006-02-21,,2006-06-29,new haven,Oil,,,20.0,,
147,withdrawn,2006-02-28,,,suffolk,Oil,,,168.0,,
148,operational,2006-03-06,,,grafton,Hydro,,,25.0,,
150,operational,2006-05-25,,,windham,Biomass,,,39.0,,
153,withdrawn,2006-05-30,,,fairfield,Gas,,,8.0,,
151,operational,2006-05-30,,2007-08-29,worcester,Landfill,,,7.2,,
152,operational,2006-05-30,,,suffolk,Oil,,,42.0,,
154,withdrawn,2006-05-31,,,suffolk,Oil,,,29.0,,
155,operational,2006-06-02,,2011-05-01,middlesex,Oil,,,130.0,,
156,operational,2006-06-13,,,essex,Coal,,,0.0,,
155,operational,2006-06-16,,2009-06-01,fairfield,Gas,,,14.0,,
158,operational,2006-06-21,,,middlesex,Gas,,,7.5,,
157,withdrawn,2006-06-21,2009-12-29,,middlesex,Gas,,,341.0,,
159,withdrawn,2006-06-30,2008-10-22,,fairfield,Gas,,,375.0,,
160,withdrawn,2006-06-30,2008-11-26,,middlesex,Oil,,,95.0,,
161,operational,2006-07-05,,2010-06-09,new haven,Oil,,,197.0,,
161,operational,2006-07-17,,2008-04-30,,Gas,,,0.0,,
162,operational,2006-07-18,,2008-03-13,windham,Hydro,,,32.0,,
163,withdrawn,2006-07-24,,,middlesex,Oil,,,22.0,,
164,withdrawn,2006-08-01,2009-12-14,,providence,Gas,,,196.0,,
165,withdrawn,2006-08-03,,,rockingham,Gas,,,616.0,,
166,operational,2006-08-09,,2012-02-15,coos,Wind,,,95.0,,
167,withdrawn,2006-08-10,,,new haven,Gas,,,16.0,,
168,withdrawn,2006-08-11,,,,Wind,,,250.0,,
169,withdrawn,2006-08-15,,,windsor,Biomass,,,28.0,,
170,withdrawn,2006-08-25,,,middlesex,Oil,,,55.0,,
172,operational,2006-08-29,,,caledonia,Wind,,,40.0,,
171,operational,2006-08-29,,2009-06-23,norfolk,Oil,,,115.0,,
173,withdrawn,2006-09-21,,,rutland,Wind,,,60.0,,
174,withdrawn,2006-10-13,,,hampden,Oil,,,280.0,,
182,withdrawn,2006-10-20,,,fairfield,Oil,,,18.0,,
176,withdrawn,2006-10-20,2008-12-29,,coos,Wind,,,146.0,,
175,withdrawn,2006-10-20,,,fairfield,Oil,,,204.0,,
177,withdrawn,2006-10-23,2008-12-23,,worcester,Oil,,,190.0,,
178,withdrawn,2006-11-02,,,plymouth,Oil,,,371.0,,
179,operational,2006-11-06,,2006-11-01,penobscot,Biomass,,,16.0,,
183,operational,2006-11-17,,2008-11-01,new london,Nuclear,,,1245.0,,
184,withdrawn,2006-11-17,,,middlesex,Oil,,,140.0,,
185,operational,2006-11-22,,2009-01-22,penobscot,Wind,,,59.0,,
186,withdrawn,2006-12-01,,,new haven,Oil,,,93.0,,
187,withdrawn,2006-12-05,,,fairfield,Gas,,,29.0,,
188,withdrawn,2006-12-07,,,plymouth,Oil,,,69.0,,
189,operational,2006-12-15,,2007-12-05,essex,Landfill,,,1.6,,
191,withdrawn,2006-12-22,,,fairfield,Gas,,,100.0,,
190,withdrawn,2006-12-22,,,hampden,Oil,,,200.0,,
192,operational,2006-12-28,,2010-06-01,litchfield,Oil,,,550.0,,
192,operational,2007-01-03,,2007-05-04,essex,Coal,,,0.0,,
193,withdrawn,2007-01-05,,,new haven,Gas,,,67.0,,
194,withdrawn,2007-01-08,,,new haven,Gas,,,189.0,,
195,operational,2007-01-09,,2009-09-24,bristol,Oil,,,24.0,,
196,operational,2007-01-16,,2011-06-17,franklin,Hydro,,,295.0,,
196,operational,2007-01-26,,2009-01-29,hampshire,Gas,,,11.0,,
197,operational,2007-01-31,,2012-01-31,oxford,Wind,,,51.0,,
198,withdrawn,2007-02-08,,,coos,Biomass,,,68.0,,
199,operational,2007-02-21,,2009-06-26,new haven,Gas,,,98.0,,
200,withdrawn,2007-02-21,,,coos,Wind,,,34.0,,
201,withdrawn,2007-02-26,2009-12-14,,providence,Gas,,,162.0,,
202,withdrawn,2007-02-27,2010-10-22,,windham,Gas,,,285.0,,
203,withdrawn,2007-03-20,,,coos,Landfill,,,6.3,,
204,withdrawn,2007-03-30,,,hartford,Oil,,,48.0,,
205,withdrawn,2007-04-02,,,penobscot,Gas,,,9.1,,
207,withdrawn,2007-04-03,,,new haven,Oil,,,540.0,,
206,operational,2007-04-03,,2008-05-05,litchfield,Gas,,,28.0,,
208,withdrawn,2007-04-13,,,norfolk,Gas,,,100.0,,
209,operational,2007-04-18,,2007-06-30,hampden,Coal,,,0.0,,
210,operational,2007-04-30,,,suffolk,Oil,,,0.0,,
211,withdrawn,2007-05-08,2007-11-20,,bristol,Oil,,,550.0,,
212,withdrawn,2007-05-15,,,hillsborough,Biomass,,,45.0,,
213,withdrawn,2007-05-15,,,worcester,Gas,,,185.0,,
214,withdrawn,2007-05-21,2007-10-27,,coos,Biomass,,,41.0,,
215,withdrawn,2007-05-24,2011-12-14,,oxford,Wind,,,50.0,,
215,withdrawn,2007-05-30,2008-10-27,,norfolk,Oil,,,578.0,,
216,withdrawn,2007-06-08,,,bristol,Oil,,,294.0,,
217,operational,2007-06-13,,,franklin,Hydro,,,1180.0,,
218,withdrawn,2007-06-27,,,berkshire,Biomass,,,48.0,,
219,operational,2007-07-06,,2009-01-01,middlesex,Oil,,,77.0,,
220,operational,2007-07-10,,2009-01-31,grafton,Biomass,,,17.0,,
222,withdrawn,2007-07-16,,,new haven,Oil,,,560.0,,
221,withdrawn,2007-07-18,,,penobscot,Wind,,,35.0,,
223,withdrawn,2007-07-25,,,berkshire,Biomass,,,24.0,,
224,operational,2007-08-10,,2010-02-12,franklin,Oil,,,28.0,,
225,withdrawn,2007-08-13,2010-10-22,,windham,Gas,,,412.0,,
225,withdrawn,2007-09-04,,,,Wind,,,255.0,,
226,withdrawn,2007-09-05,,,rockingham,Gas,,,1010.0,,
227,withdrawn,2007-09-26,,,berkshire,Hydro,,,333.0,,
228,operational,2007-10-09,,2011-07-26,penobscot,Wind,,,30.0,,
230,operational,2007-10-15,,,colchester,Oil,,,8.0,,
229,withdrawn,2007-10-15,,,coos,Biomass,,,41.0,,
231,operational,2007-10-25,,,bristol,Coal,,,663.0,,
232,withdrawn,2007-11-01,,,hartford,Oil,,,275.0,,
233,operational,2007-11-02,,2013-05-25,providence,Landfill,,,37.0,,
234,operational,2007-11-07,,2008-09-04,washington,Landfill,,,4.8,,
235,withdrawn,2007-11-15,,,new haven,Gas,,,65.0,,
236,withdrawn,2007-11-30,,,hampden,Oil,,,421.0,,
237,withdrawn,2007-12-05,,,newport,Gas,,,300.0,,
