q_id,q_status,q_date,wd_date,on_date,county_1,type1,type2,type3,mw1,mw2,mw3
83,withdrawn,2005-09-16,,,san bernardino,Wind,,,60.0,,
84,operational,2005-12-01,,2019-11-09,kern,Solar,,,100.0,,
85,withdrawn,2005-12-28,,,kern,Wind,,,120.0,,
86B,withdrawn,2006-01-20,,,kern,Wind,,,34.0,,
86A,withdrawn,2006-01-20,,,kern,Wind,,,33.0,,
87,withdrawn,2006-02-03,2010-12-14,,san luis obispo,Steam Turbine,,,28.0,,
88,withdrawn,2006-02-10,,,los angeles,Gas,,,614.0,,
89,withdrawn,2006-02-13,,,san bernardino,Gas,,,570.0,,
90,withdrawn,2006-02-16,2009-10-26,,san diego,Gas,,,93.0,,
92,withdrawn,2006-02-23,,,los angeles,Gas,,,570.0,,
94,withdrawn,2006-03-01,,,kern,Wind,,,180.0,,
96,operational,2006-03-01,,,kern,Wind,,,600.0,,
95,operational,2006-03-01,,2012-02-14,kern,Wind,,,550.0,,
93,operational,2006-03-01,,2021-04-26,kern,Wind,,,220.0,,
97,withdrawn,2006-03-01,,,kern,Wind,,,160.0,,
98,operational,2006-03-09,,,san luis obispo,Steam Turbine,,,37.0,,
99,operational,2006-03-29,,2006-06-07,san luis obispo,Steam Turbine,,,45.0,,
100,active,2006-04-05,,,kern,Wind,Battery,,120.0,120.0,
101,withdrawn,2006-04-07,,,kern,Gas,,,100.0,,
102,withdrawn,2006-04-19,,,monterey,Wind,,,210.0,,
102A,withdrawn,2006-04-21,,,kern,Wind,,,100.0,,
103,withdrawn,2006-05-02,2016-12-22,,san diego,Steam Turbine,,,27.0,,
104,withdrawn,2006-05-03,,,los angeles,Gas,,,304.0,,
105,withdrawn,2006-05-04,,,humboldt,Wind,,,100.0,,
106,withdrawn,2006-05-26,2008-10-13,,san bernardino,Steam Turbine,,,635.0,,
106A,withdrawn,2006-06-06,,,san diego,Solar,Battery,,50.0,50.0,
108,operational,2006-06-09,,2012-03-04,solano,Wind,,,128.0,,
107,withdrawn,2006-06-09,,,solano,Wind,,,128.0,,
108A,withdrawn,2006-06-14,2006-11-16,,kern,Steam Turbine,,,300.0,,
110,withdrawn,2006-06-16,,,san bernardino,Solar,,,1400.0,,
109,withdrawn,2006-06-16,,,san bernardino,Solar,,,550.0,,
111,withdrawn,2006-06-26,,,kern,Steam Turbine,,,16.0,,
112,withdrawn,2006-06-28,,,san diego,Wind,,,300.0,,
