q_id,q_status,q_date,wd_date,on_date,county_1,type1,type2,type3,mw1,mw2,mw3
26INR0046,active,2023-01-03,,,victoria,Solar,Battery,,1029.0,512.0,
27INR0004,active,2023-01-03,,,wilbarger,Wind,,,308.0,,
27INR0005,active,2023-01-03,,,baylor,Wind,,,307.0,,
27INR0011,active,2023-01-17,,,baylor,Wind,,,300.0,,
26INR0037,withdrawn,2023-01-17,,,martin,Solar,,,77.0,,
24INR0374,active,2023-01-17,,,hopkins,Battery,,,410.0,,
24INR0333,active,2023-01-17,,,brown,Solar,Battery,,147.0,146.0,
24INR0495,active,2023-01-17,,,chambers,Battery,,,308.0,,
27INR0012,active,2023-01-17,,,wilbarger,Solar,Battery,,201.0,,
24INR0390,active,2023-01-17,,,brazoria,Solar,Battery,,101.0,101.0,
25INR0321,active,2023-01-17,,,webb,Solar,Battery,,201.0,,
24INR0461,active,2023-01-23,,,waller,Battery,,,201.0,,
24INR0527,active,2023-01-23,,,hidalgo,Battery,,,9.9,,
24INR0519,active,2023-01-30,,,scurry,Battery,,,102.0,,
25INR0284,active,2023-01-30,,,rusk,Battery,,,255.0,,
24INR0506,active,2023-01-30,,,zapata,Wind,,,195.0,,
24INR0505,active,2023-01-30,,,zapata,Wind,,,196.0,,
26INR0068,active,2023-01-30,,,karnes,Solar,Battery,,203.0,,
25INR0280,active,2023-02-09,,,gonzales,Solar,,,201.0,,
24INR0516,active,2023-02-09,,,kleberg,Battery,,,75.0,,
24INR0500,active,2023-02-09,,,harris,Battery,,,406.0,,
24INR0491,active,2023-02-09,,,hidalgo,Battery,,,203.0,,
25INR0290,active,2023-02-20,,,zavala,Solar,,,130.0,,
24INR0488,active,2023-02-20,,,taylor,Solar,Battery,,201.0,,
25INR0319,active,2023-02-20,,,wharton,Solar,,,130.0,,
25INR0330,active,2023-02-20,,,galveston,Solar,,,251.0,,
25INR0196,active,2023-02-20,,,scurry,Solar,Battery,,281.0,281.0,
25INR0210,active,2023-02-20,,,jones,Battery,,,301.0,,
24INR0446,active,2023-02-27,,,starr,Battery,,,200.0,,
25INR0331,active,2023-02-27,,,robertson,Solar,Battery,,251.0,151.0,
25INR0246,active,2023-02-27,,,hunt,Solar,,,75.0,,
25INR0363,active,2023-02-27,,,dallas,Battery,,,261.0,,
24INR0477,active,2023-02-27,,,rains,Solar,Battery,,128.0,77.0,
25INR0392,active,2023-03-08,,,collin,Battery,,,156.0,,
26INR0070,active,2023-03-08,,,karnes,Solar,Battery,,203.0,,
25INR0372,active,2023-03-08,,,fort bend,Battery,,,203.0,,
26INR0072,active,2023-03-08,,,karnes,Solar,Battery,,203.0,,
25INR0236,active,2023-03-08,,,brazoria,Solar,Battery,,151.0,,
25INR0329,active,2023-03-08,,,nueces,Battery,,,251.0,,
25INR0297,active,2023-03-08,,,falls,Solar,Battery,,301.0,,
25INR0391,active,2023-03-08,,,collin,Battery,,,156.0,,
25INR0237,active,2023-03-08,,,brazoria,Solar,Battery,,151.0,,
24INR0545,active,2023-03-08,,,harris,Battery,,,10.0,,
26INR0042,active,2023-03-09,,,brazoria,Solar,,,307.0,,
24INR0508,active,2023-03-09,,,king,Wind,,,607.0,,
24INR0546,active,2023-03-09,,,harris,Battery,,,10.0,,
25INR0375,active,2023-03-13,,,nueces,Battery,,,304.0,,
27INR0024,active,2023-03-13,,,hutchinson,Solar,Battery,,260.0,,
27INR0022,active,2023-03-13,,,carson,Solar,Battery,,439.0,372.0,
27INR0014,active,2023-03-13,,,henderson,Battery,,,154.0,,
25INR0371,active,2023-03-13,,,hunt,Battery,,,176.0,,
25INR0374,active,2023-03-13,,,bosque,Battery,,,31.0,,
27INR0023,active,2023-03-13,,,hutchinson,Solar,Battery,,304.0,,
26INR0035,active,2023-03-13,,,rains,Battery,,,72.0,,
24INR0424,active,2023-03-13,,,zapata,Wind,,,198.0,,
26INR0076,active,2023-03-13,,,matagorda,Solar,,,152.0,,
25INR0313,active,2023-03-13,,,lubbock,Battery,,,255.0,,
25INR0381,withdrawn,2023-03-13,,,bell,Battery,,,76.0,,
23INR0561,active,2023-03-13,,,zapata,Wind,,,198.0,,
25INR0320,active,2023-03-13,,,leon,Solar,,,121.0,,
25INR0346,active,2023-03-13,,,bexar,Battery,,,205.0,,
25INR0361,active,2023-03-27,,,howard,Battery,,,205.0,,
27INR0015,active,2023-03-27,,,nueces,Battery,,,200.0,,
27INR0019,withdrawn,2023-03-27,2023-11-16,,wharton,Solar,,,239.0,,
25INR0370,active,2023-03-27,,,rains,Battery,,,176.0,,
26INR0106,active,2023-03-27,,,johnson,Battery,,,462.0,,
25INR0335,active,2023-03-27,,,archer,Solar,Battery,,90.0,91.0,
27INR0020,active,2023-03-27,,,haskell,Solar,Battery,,364.0,,
25INR0300,active,2023-03-27,,,galveston,Battery,,,151.0,,
24INR0544,active,2023-03-27,,,brown,Battery,,,186.0,,
25INR0368,active,2023-04-07,,,lamar,Solar,Battery,,201.0,101.0,
24INR0492,withdrawn,2023-04-07,,,crockett,Battery,,,0.0,,
25INR0310,active,2023-04-07,,,galveston,Battery,,,100.0,,
25INR0304,active,2023-04-07,,,zavala,Solar,,,80.0,,
25INR0420,active,2023-04-07,,,harris,Battery,,,228.0,,
22INR0602,active,2023-04-07,,,matagorda,Battery,,,9.8,,
27INR0032,withdrawn,2023-04-19,2023-11-16,,wharton,Battery,,,0.0,,
26INR0114,active,2023-04-19,,,waller,Battery,,,261.0,,
25INR0417,active,2023-04-19,,,upton,Battery,,,502.0,,
25INR0422,active,2023-04-19,,,bastrop,Solar,Battery,,201.0,106.0,
25INR0385,active,2023-04-19,,,cameron,Battery,,,201.0,,
25INR0432,active,2023-04-19,,,anderson,Battery,,,176.0,,
26INR0088,active,2023-04-19,,,la salle,Solar,Battery,,500.0,500.0,
25INR0397,active,2023-04-19,,,gonzales,Battery,,,50.0,,
26INR0109,active,2023-04-19,,,freestone,Gas,,,228.0,,
25INR0401,active,2023-04-19,,,king,Wind,,,315.0,,
